name,country,population,aliases
Koumassi,CI,412282,
Korhogo,CI,440926,科霍戈
Gagnoa,CI,277044,加尼奧阿
Daoukro,CI,101136,
Daloa,CI,421871,達洛亞
Dabou,CI,138083,
Bouaké,CI,832371,布瓦凯
Bondoukou,CI,141568,邦杜庫
Abobo,CI,1340083,
Abidjan,CI,6321017,Abiyán|阿必仁|阿比让
Abengourou,CI,130810,阿本古鲁
Marcory,CI,214061,
Séguéla,CI,103980,
Bonon,CI,119938,
Viña del Mar,CL,334248,比尼亚德尔马
Valparaíso,CL,282448,Ciudad de Valparaíso|Dakbayan sa Valparaíso|Wǎěr pà lái suǒ|瓦尔帕莱索|瓦爾帕萊索
Valdivia,CL,133419,Ciudad de Valdivía|瓦尔迪维亚
Temuco,CL,238129,特木科
Talcahuano,CL,150499,塔爾卡瓦諾
Talca,CL,197479,塔爾卡
Santiago,CL,4837295,圣地亚哥|聖地亞哥
Renca,CL,147151,
Rancagua,CL,212695,兰卡瓜
Quilicura,CL,210410,基利库拉
Punta Arenas,CL,117430,蓬塔阿雷纳斯
Puerto Montt,CL,245902,蒙特港
Peñalolén,CL,241599,佩尼亞洛倫
Maipú,CL,503635,
La Serena,CL,154521,拉塞雷纳
Lampa,CL,102234,
Iquique,CL,199587,伊基克
Coronel,CL,107759,科羅內爾
Copiapó,CL,129280,科皮亞波
Concepción,CL,223574,康塞普西翁|康賽普西翁
Chillán,CL,150396,
Arica,CL,241653,阿列卡|阿里卡
Antofagasta,CL,401096,安托法加斯塔
San Pedro de la Paz,CL,121631,聖佩德羅德拉帕斯
La Pintana,CL,201178,拉平塔納
Lo Prado,CL,104316,洛普拉多
Villa Mercedes,CL,131936,
Yaoundé,CM,1299369,Jaúnde|Jánde|Yaundé|耶溫得|雅温得
Nkongsamba,CM,162309,
Ngaoundéré,CM,238196,恩冈代雷
Maroua,CM,314122,马鲁阿
Limbe,CM,131381,Limbé|林贝
Kumbo,CM,125124,
Kumba,CM,225046,
Kousséri,CM,139024,
Foumban,CM,130287,豐班
Edéa,CM,103861,Édéa|埃代阿
Ébolowa,CM,101363,
Douala,CM,1338082,Dóúala|杜阿拉
Buea,CM,140533,Buéa|布埃亞
Bertoua,CM,137993,贝尔图阿
Bamenda,CM,420445,巴门达
Bafoussam,CM,373268,巴富薩姆
Shache,CN,128145,
Lhasa,CN,118721,Lhásza|Lása|拉萨|拉萨市|拉薩|拉薩市
Wujiaqu,CN,154400,五家渠|五家渠市
Ürümqi,CN,3029372,Ürümchi|Ürümchi-sṳ|Ürümcsi|Ürümqi-chhī|Ürümçi|乌鲁木齐|乌鲁木齐市|烏魯木齊|烏魯木齊市|迪化
Hami,CN,246373,哈密地区|哈密市
Zoucheng,CN,277400,邹城市|鄒城市
Zigong,CN,1262064,Cê̤ṳ-góng|自貢|自貢市|自贡|自贡市
Shangqiu,CN,1536392,商丘|商丘市
Zhoucun,CN,122402,
Zhengzhou,CN,4253913,Chhiáng-chû-sṳ|郑州|郑州市|鄭州|鄭州市
Xinghua,CN,105918,
Zhaotong,CN,787845,昭通|昭通市
Zibo,CN,3129228,Cṳ̆-báuk|Truy Bác|淄博|淄博市
Zaozhuang,CN,899753,Chó-chng-chhī|枣庄市|棗荘市|棗莊
Zaoyang,CN,184509,
Zhongxiang,CN,108883,
Yinchuan,CN,1487579,Yínchuān|銀川|銀川市|银川|银川市
Qingzhou,CN,236406,
Yanzhou,CN,254788,
Yantai,CN,2227733,Yantái|烟台|烟台市|煙台市|煙臺
Yangzhou,CN,1584237,扬州市|揚州|揚州市
Xiuying,CN,290000,秀英
Xiulin,CN,122411,
Xinzhai,CN,100168,
Xinyang,CN,1230042,Xìnyáng|信阳|信阳市|信陽|信陽市
Xintai,CN,222459,
Xining,CN,1677177,Xīníng|西宁|西宁市|西寧|西寧市
Xindi,CN,175761,
Sanshui,CN,153714,三水
Xiazhen,CN,125667,
Xiantao,CN,239406,
Xi’an,CN,9600000,西安|西安市
Wuhan,CN,10392693,Bú-hàn-chhī|Vú-hon-sṳ|Vũ Hán|Ū-háng|武汉|武汉市|武漢|武漢市
Wuda,CN,129922,乌达|乌达区|巴音赛
Weifang,CN,2044028,Wéifāng|潍坊|潍坊市|濰坊
Wafangdian,CN,454338,
Tongzhou,CN,163326,T’ung-chou-ch’ü|通州
Tianjin,CN,11090314,Tianjín|天津|天津市
Chengtangcun,CN,105456,滕县|滕州|滕州市|程堂村
Tanggu,CN,535298,塘沽
Taiyuan,CN,4303673,Taiyüan-fu|Tajjüan|Tchaj-jüan|Thái Nguyên|Tái-nguòng|T’ai-yüan-shih|Yang-ch’ü|Yangkü|太原|太原市
Shouguang,CN,473620,
Huinong,CN,136570,惠农区
Tongchuanshi,CN,223603,銅川|銅川市|铜川市
Shijiazhuang,CN,3938513,石家庄|石家庄市|石家荘|石家荘市|石家莊|石家莊市
Shaoshan,CN,118000,韶山|韶山市
Shanghai,CN,24874500,上海|上海市|中国上海|沪
Shahecheng,CN,125132,
Rui’an,CN,927383,瑞安
Quzhou,CN,902767,Ch’ü|Ch’ü-chou|Ch’ü-hsien|Ch’ü-hsien-ch’eng|Čchü-čou|衢州|衢州市
Qujing,CN,1408500,Chiu-ch’ü-ching|Ch’ü-ching|Ch’ü-ching-hsien|Khúc Tĩnh|Kuóh-cêng|Kü-tsing-fu|Kütsing|Čchü-ťing|曲靖|曲靖市
Huai'an,CN,2494013,Huái'ān|淮安|淮安市
Qibao,CN,283352,七宝
Puqi,CN,132891,
Pulandian,CN,104277,普兰店
Pingxiang,CN,129843,萍乡
Pengpu,CN,152725,彭浦
Nianbo,CN,260184,海东市
Nanning,CN,3839800,南宁|南宁市|南寧|南寧市
Nanjing,CN,9314685,Nankín|Nanquín|南京|南京市
Nanchang,CN,2357839,南昌|南昌市
Mingshui,CN,114858,
Mentougou,CN,197772,门头沟
Wuchuan,CN,104168,吴川
Majie,CN,131696,马街
Macheng,CN,126366,Máchéng|麻城|麻城市
Puning,CN,874954,Liu-sha-hsü|普宁|普宁市|普寧|普寧市
Linxi,CN,100316,林西
Linshui,CN,109955,
Linqu,CN,299646,Lin-ch’ü|Lin-ch’ü-hsien
Beiliu,CN,199769,
Linfen,CN,959198,临汾|临汾市|尧都区|平阳|平阳府|臨汾|臨汾市
Lichuan,CN,120587,
Lianjiang,CN,100341,廉江
Leshan,CN,662814,乐山|乐山市|楽山市|樂山
Lengshuijiang,CN,115399,冷水江|冷水江市
Laohekou,CN,253112,Lǎohékǒu|老河口
Lanzhou,CN,3000000,兰州|兰州市|蘭州|蘭州市
Laiyang,CN,169594,
Kunming,CN,3855346,Yün-nan|Yünnanfu|昆明|昆明市
Kaiyuan,CN,198423,K’ai-yüan-hsien|开远
Kaifeng,CN,1451741,Keyféng shehiri|开封|开封市|開封|開封市
Jinzhou,CN,215386,
Jining,CN,1241012,Cá̤-nìng|Jǐníng|济宁|济宁市|済寧市|濟寗|濟寧
Jingzhi,CN,126703,
Jingling,CN,224871,
Jinan,CN,4335989,Cá̤-nàng|济南|济南市|済南|済南市|濟南|濟南市
Jieshou,CN,141993,界首|界首市
Huayin,CN,242488,
Huangzhou,CN,122563,
Daxing,CN,104904,大兴
Huainan,CN,1666826,淮南市
Hechuan,CN,377213,合川
Hengyang,CN,1075516,Xéngyang shehiri|衡阳市|衡陽|衡陽市
Hefei,CN,5050000,合肥|合肥市
Hangzhou,CN,9236032,杭州|杭州市
Hangu,CN,208369,
Haikou,CN,2873358,Hái-kháu-chhī|海口|海口市
Guli,CN,536000,
Guiyang,CN,3037159,Gói-iòng|貴陽|貴陽市|贵阳|贵阳市
Guangzhou,CN,16096724,Cantón|Fan-yü|Kóng-chû-sṳ|Puyün|P’an-yü|广州|广州市|広州|広州市|廣州|廣州市
Gaozhou,CN,292164,高州
Fuzhou,CN,3740000,Hók-ciŭ|Phúc Châu|福州|福州市
Ezhou,CN,193652,
Duyun,CN,198516,Dūyún|Tu-yün|Tu-yün-ch’eng|Tu-yün-hsien|Tu-yün-shih|都勻|都匀|都匀市
Daye,CN,347406,
Dawukou,CN,131880,
Datun,CN,110258,
Dalian,CN,4913879,Lü-ta|Lü-ta-shih|Lüda|Lüta|大连|大连市|大連|大連市|旅大
Yangchun,CN,153547,阳春
Chongqing,CN,7457599,Trùng Khánh|Yü-chou|重庆|重庆市|重慶|重慶市
Chengdu,CN,13568357,Chengdú|天府|成都|成都市
Chaohu,CN,138463,巢湖市
Changzhi,CN,699514,
Changsha,CN,3093980,長沙|長沙市|长沙|长沙市
Changle,CN,259161,
Boshan,CN,153596,
Bengbu,CN,972784,蚌埠|蚌埠市
Beijing,CN,18960744,Beixín|Báe̤k-gĭng|Béising|Pekín|Pequín|Péycing|北京|北京市
Shangyu,CN,770000,上虞|上虞区|上虞县|上虞市
Anqiu,CN,364208,
Jiangyou,CN,127225,
Yueyang,CN,991465,Jüe-jang|岳阳市|岳陽市
Yichun,CN,155762,伊春|伊春市
Xilin Hot,CN,120965,锡林浩特|锡林浩特市|阿巴哈纳尔旗
Ulanhot,CN,165846,Wangin Süm|乌兰浩特|乌兰浩特市|王爷庙
Tieling,CN,333907,Tiělíng|鉄嶺市|鐵嶺|铁岭|铁岭市
Sujiatun,CN,148113,
Siping,CN,555609,Sé-bìng|Sìpíng|Sìpíngjiē|四平|四平市|四平街
Shunyi,CN,117623,Shun-i-ch’ü|顺义
Shenyang,CN,7050000,Sím-iông-chhī|沈阳|沈阳市|瀋陽|瀋陽市
Panshan,CN,625040,
Liaoyang,CN,687890,辽阳市|遼陽|遼陽市
Kaiyuan,CN,112462,K’ai-yüan-chen
Jiupu,CN,123843,
Jishu,CN,103988,
Jinzhou,CN,604269,Kím-chiu-chhī|錦州|錦州市|锦州市
Jining,CN,258757,P’ing-ti-ch’üan|P’ing-ti-ch’üan-chen|平地泉镇|集宁|集宁区
Jiagedaqi,CN,135760,Jiāgédáqí|加格达奇区|加格達奇区|加格達奇區
Hulan Ergi,CN,265344,
Hohhot,CN,2350000,Hūhéhàotè|Suiyüan|呼和浩特|呼和浩特市|呼市
Harbin,CN,5242897,Cáp Nhĩ Tân|哈尔滨|哈尔滨市|哈爾濱
Beining,CN,152033,
Gongzhuling,CN,140909,
Fuyu,CN,138704,Fu-yü-chen|Fu-yü-hsien
Fuxin,CN,689050,阜新|阜新市
Fengcheng,CN,120514,
Dongling,CN,171454,
Datong,CN,1850000,Dàtóng|大同市
Dandong,CN,631973,丹东市|丹東|丹東市
Chengde,CN,449325,Chengdé|Sìng-dáik|承徳市|承德|承德市
Changchun,CN,4714996,長春|長春市|长春|长春市
Benxi,CN,987717,Pún-khe-chhī|本渓|本渓市|本溪|本溪市
Beipiao,CN,190315,
Bei’an,CN,436444,
Baotou,CN,2150000,Bāotóu|包头|包头市|包頭|包頭市
Anshan,CN,1450000,鞍山|鞍山市
Doilungdêqên,CN,137451,Duīlóngdéqìng Qū|东嘎
Gongheyong,CN,204881,共和涌
Tantou,CN,320304,潭头
Fenghuang,CN,370000,
Ordos,CN,1940653,鄂尔多斯市
Bole,CN,235585,Bólè|博乐|博樂
Liupanshui,CN,1320825,Lio̍k-poâⁿ-chúi-chhī|六盘水市|六盤水|六盤水市
Jianshui,CN,490000,碱水
Liuzhi,CN,138826,六枝
Bayan Nur,CN,1760000,巴彦淖尔市
Bao'an Centre,CN,120170,
Nossa Senhora de Fátima,CN,126000,花地瑪堂區
Santo António,CN,129800,聖安多尼堂區|花王堂區
Yopal,CO,168433,Marroquín|約帕爾
Villavicencio,CO,321717,比亚维森西奥
Valledupar,CO,490075,巴耶杜帕尔
Tunja,CO,172548,通哈
Sincelejo,CO,277773,辛塞萊霍
Santa Marta,CO,499192,
Riohacha,CO,188014,Ríohacha
Quibdó,CO,129237,基布多
Popayán,CO,318059,波帕扬
Pitalito,CO,135711,皮塔利托
Pereira,CO,467269,
Pasto,CO,392930,
Neiva,CO,357392,
Montería,CO,490935,
Medellín,CO,1999979,麦德林
Manizales,CO,434403,馬尼薩萊斯
Ibagué,CO,529635,伊瓦格
Girardot City,CO,107324,
Florencia,CO,168346,
Cúcuta,CO,777106,San José de Cùcuta|San José de Guacimal|库库塔
Cartagena,CO,914552,Cartagena das Índias|卡塔赫纳
Cali,CO,2392877,Cáli|卡利
Buenaventura,CO,432385,
Bucaramanga,CO,581130,布卡拉曼加
Bogotá,CO,7674366,Bógóta|Santafe de Bogotá|波哥大
Barranquilla,CO,1206319,Barrancas de San Nicolás|巴兰基亚|巴冷基也
Armenia,CO,304314,
San José,CR,335007,San José de Costa Rica|San José i Costa Rica|San Jozé|San Xosé|聖荷西
Santiago de Cuba,CU,555865,Santiago de Cúba|圣地亚哥-德古巴
Santa Clara,CU,250512,圣克拉拉
San Miguel del Padrón,CU,159273,
Sancti Spíritus,CU,127069,
Pinar del Río,CU,186990,
Matanzas,CU,146733,馬坦薩斯
Marianao,CU,134057,
Las Tunas,CU,203684,维多利亚-德拉斯图纳斯
Havana,CU,2163824,哈瓦那|夏灣拿
Holguín,CU,319102,奧爾金
Guantánamo,CU,272801,
Guanabacoa,CU,112964,
Fontanar,CU,178601,
Cienfuegos,CU,186644,西恩富戈斯
Ciego de Ávila,CU,142027,
Cerro,CU,132351,
Camagüey,CU,347562,
Bayamo,CU,192632,
Arroyo Naranjo,CU,210053,
Praia,CV,137868,Município da Praia|培亞
Willemstad,CW,125000,威廉斯塔德
Nicosia,CY,200452,An Leafcóis|Lefkosía|Nicoséa|Nicósia|Nikósie|Nikósía|Nikózia|尼科西亚|尼科西亞
Limassol,CY,154000,Lemesós|利马索尔
Prague,CZ,1165581,Prág|Prága|布拉格
Pilsen,CZ,168733,比尔森
Ostrava,CZ,279791,俄斯特拉發|奥斯特拉瓦
Liberec,CZ,102951,利贝雷茨
Brno,CZ,379466,Brünn|布爾諾
Witten,DE,101247,维滕
Wiesbaden,DE,278609,威斯巴登
Stuttgart,DE,630305,斯图加特
Salzgitter,DE,103866,薩爾茨吉特
Saarbrücken,DE,179349,Saarbrécken|Saarbrükken|Sárbrúch|沙卜勤|萨尔布吕肯|薩爾布呂肯
Potsdam,DE,182112,波茨坦
Munich,DE,1260391,Lungsod ng München|Mníchov|Myunxén|Múnic|Múnich|München|Münegh|Münhen|Münih|慕尼黑
Mülheim,DE,170921,Mülheim (Ruhr)|Mülheim an der Ruhr|Mülheim-on-Ruhr
Moers,DE,103487,默爾斯
Mainz,DE,217123,Magúncia|Mogúncia|美因茨
Magdeburg,DE,235775,马格德堡
Kiel,DE,246601,Kíl|基尔
Hannover,DE,515140,Hannóver|Hanofér|Hanóver|汉诺威|漢諾威
Hamm,DE,178967,哈姆
Hamburg,DE,1845229,汉堡|汉堡市|漢堡
Halle (Saale),DE,237865,
Fürth,DE,112025,菲尔特
Erfurt,DE,213692,Érfurt|埃尔福特
Düsseldorf,DE,620523,Düsseldörp|Düssldorf|杜塞尔多夫|調素多爾夫
Dresden,DE,556227,Drážďany|Drézdén|德累斯顿
Bremerhaven,DE,113557,Wesermünde|不来梅哈芬
Bremen,DE,546501,Bréma|Brémy|Brémén|不来梅
Berlin,DE,3426354,Beirlín|Berlín|Estat de Berlín|柏林
Djibouti,DJ,626512,Diobúití|Džíbútí|Xibutí|Ìlú Djibouti|吉布地市|吉布提城
Copenhagen,DK,1153615,Cóbanhávan|Koppenhága|Københámman|哥本哈根
Aalborg,DK,142937,Álaborg|奥尔堡
Santo Domingo,DO,2201941,Santo Domingo de Guzmán|聖多明哥
Santiago de los Caballeros,DO,1200000,聖地牙哥
San Pedro de Macorís,DO,217899,
San Francisco de Macorís,DO,124763,
Puerto Plata,DO,146000,聖斐利-銀港
Salvaleón de Higüey,DO,123787,Higüey
Punta Cana,DO,100023,
La Romana,DO,208437,羅馬納
La Vega,DO,102426,Concepción de La Vega|拉維加
San Cristóbal,DO,154040,
Santo Domingo Oeste,DO,701269,
Santo Domingo Este,DO,700000,
Touggourt,DZ,143270,图古尔特
Tlemcen,DZ,173531,Termicén|Tremecén|特莱姆森
Tizi Ouzou,DZ,104312,提济乌祖
Tiaret,DZ,178915,提亚雷特
Tébessa,DZ,194461,泰贝萨
Souk Ahras,DZ,153479,Szúk Ahrász|苏格艾赫拉斯
Skikda,DZ,182903,斯基克达
Sidi Bel Abbes,DZ,210146,西迪贝勒阿巴斯
Sétif,DZ,252127,塞提夫
Saïda,DZ,142497,塞伊达
Rouiba,DZ,117558,
Relizane,DZ,123255,
Ouargla,DZ,169928,瓦尔格拉
Oran,DZ,803329,Orán|瓦赫蘭
M'Sila,DZ,132975,
Mostaganem,DZ,162885,穆斯塔加奈姆
Médéa,DZ,145441,麦迪亚
Mascara,DZ,108629,穆阿斯凯尔
Laghouat,DZ,134372,艾格瓦特
Khenchela,DZ,114472,
Jijel,DZ,131513,Gíger|吉杰勒
Guelma,DZ,120004,盖勒马
Ghardaïa,DZ,142913,Ghardája|盖尔达耶
El Oued,DZ,186525,瓦德
El Eulma,DZ,145380,
Chlef,DZ,178616,Orléansville|谢利夫
El Achir,DZ,158333,
Djelfa,DZ,265833,
Constantine,DZ,448028,君士坦丁
Bou Saâda,DZ,111787,
Bordj el Kiffan,DZ,123246,
Bordj Bou Arreridj,DZ,158812,Bordj Bou Arréridj
Blida,DZ,331779,卜利达
Biskra,DZ,204661,比斯克拉
Béjaïa,DZ,176139,Bugía
Béchar,DZ,165241,Colomb-Béchar|贝沙尔
Batna City,DZ,289504,巴特纳
Baraki,DZ,105402,
Bab Ezzouar,DZ,275630,
Annaba,DZ,342703,Annába|安纳巴
Algiers,DZ,2364230,Algír|Alžír|Cathair na hAilgéire|阿爾及爾
Aïn Beïda,DZ,116064,
Santo Domingo de los Colorados,EC,458580,
Riobamba,EC,264048,里奧班巴
Quito,EC,2781641,基多
Portoviejo,EC,321800,波托維耶霍
Machala,EC,289141,馬查拉
Loja,EC,274112,洛哈
Latacunga,EC,205624,拉塔昆加
Ibarra,EC,221149,
Guayaquil,EC,2723665,瓜亞基爾
Esmeraldas,EC,218727,Volcán Chimborazo
Cuenca,EC,636996,昆卡
Ambato,EC,387309,安巴托
Tallinn,EE,394024,Talín|塔林
Zefta,EG,111700,Ziftá
Ţimā,EG,101130,
Tanta,EG,576648,
Ţalkhā,EG,112851,
Ţahţā,EG,134314,
Sohag,EG,266944,索哈傑
Sinnūris,EG,133532,
Shibīn al Kawm,EG,267945,
Samālūţ,EG,142009,
Rosetta,EG,301795,Ar-Rašíd|罗塞塔|羅塞塔
Qina,EG,252883,
Qalyub,EG,156363,
Mīt Ghamr,EG,153754,
Munūf,EG,125707,Ménouf
Marsá Maţrūḩ,EG,176498,
Manfalūţ,EG,117925,
Mallawī,EG,212628,
Maghāghah,EG,118223,
6th of October City,EG,368650,
Al ‘Āshir min Ramaḑān,EG,246148,Élʹ-Aşïr-mïn-Ramadan|斋月十日城|斋月市第十
Kirdāsah,EG,137588,
Kom Ombo,EG,409311,
Kafr ash Shaykh,EG,194569,
Kafr ad Dawwār,EG,128539,
Girga,EG,151256,
Esna,EG,462787,Latónpolis
Ḩalwān,EG,230000,Hélouan-les-Bains
Fāqūs,EG,116945,
Damietta,EG,305920,Dumját|杜姆亚特
Disūq,EG,149291,
Dikirnis,EG,101082,
Dayrūţ,EG,102570,
Damanhur,EG,318207,
Būsh,EG,136441,
Port Said,EG,780515,Port Saíd|Puerto Saíd|塞德港
Bilqās,EG,137080,
Bilbeis,EG,185237,Bilbéïs|比勒拜斯
Banī Suwayf,EG,273151,
Banī Mazār,EG,115759,
Banhā,EG,182254,
Zagazig,EG,430445,宰加济格
Assiut,EG,528669,
Aswān,EG,379774,Asszuán|Asuán|Aswán|阿斯旺
Suez,EG,699541,Súes|Süveyş|苏伊士|蘇伊士
As Sinbillāwayn,EG,124020,
Ashmūn,EG,124483,
Luxor,EG,422407,Lúxor|樂蜀
Cairo,EG,9606916,Kairó|Káhira|开罗|開羅
Minya,EG,283605,
Al Maţarīyah,EG,162045,
Al Manzalah,EG,127394,
Al Mansurah,EG,621953,
Al Maḩallah al Kubrá,EG,592573,
Giza,EG,4367343,Gizé|Gíza
Ismailia,EG,429465,Ismailía|Ismáílíja|Iszmáilija|伊斯梅利亚
Alexandria,EG,5263542,Aleixandría|Alejandría|Alexandría|亚历山大港|亞歷山卓|亞歷山大港
Al Ḩawāmidīyah,EG,155055,
Hurghada,EG,207132,洪加達
Al Fayyum,EG,519047,Fayún|Médinat el-Fayoum
Al Fashn,EG,112999,
Arīsh,EG,199243,Aríš|阿里什
Akhmīm,EG,151430,
Abū Tīj,EG,105418,
Abū Kabīr,EG,154466,
Abnūb,EG,111785,
New Cairo,EG,313139,
Laayoune,EH,196331,Aaiún|El Aaiún|El Aiún|El-Aaiún|O Aaiún|阿尤恩
Asmara,ER,563930,阿斯馬拉
Valencia,ES,824340,Valéncia|Vałénsia|Walénsiye|巴倫西亞|瓦伦西亚|瓦倫西亞|華倫西亞
Sevilla,ES,686741,Séville|Séwéliye|塞維亞|塞维利亚
Santa Cruz de Tenerife,ES,211359,Santa Cruz de Ténérife|圣克鲁斯-德特内里费
La Laguna,ES,150661,
Palma,ES,438234,帕爾馬
Murcia,ES,471982,Ciutat de Múrcia|Múrcia|穆尔西亚
Las Palmas de Gran Canaria,ES,383516,拉斯帕尔马斯
Zaragoza,ES,686986,萨拉戈萨
Gasteiz / Vitoria,ES,257407,Vitória
Valladolid,ES,300618,Valladolíd|Valladolís|巴利亚多利德
Terrassa,ES,218535,
Santander,ES,173635,Santandér|桑坦德
Santa Coloma de Gramenet,ES,118821,
Pamplona,ES,208243,Iruña|Iruñea|Lungsod ng Iruñea|潘普洛納
Oviedo,ES,220027,Uviéu|奥维耶多
Madrid,ES,3255944,Madríd|Mā-dáik-lī|馬德里|马德里
Logroño,ES,151164,Logroñu|洛格罗尼奥
L'Hospitalet de Llobregat,ES,257038,
Ciudad Lineal,ES,228171,ciudá Lineal|休达利内亚尔区
Chamartín,ES,140000,Chamartín de la Rosa|Chamartín distritu|Distrito Chamartín|查馬丁區
Barcelona,ES,1686208,Barselóna|巴塞罗那|巴塞隆納|巴薩隆拿
Warder,ET,450400,
Weldiya,ET,104000,沃尔迪亚|沃爾迪亞
Shashamane,ET,208400,Shashamané
Sebeta,ET,102300,
Nek’emtē,ET,156000,
Nazrēt,ET,456900,
Mek'ele,ET,457900,默克萊
Kombolcha,ET,132100,孔博勒查
Jimma,ET,250900,吉馬|吉马
Jijiga,ET,483000,吉吉加
Inda Silasē,ET,100100,
Hosa’ina,ET,188200,
Harar,ET,157000,哈勒尔
Gonder,ET,466000,貢德爾
Dire Dawa,ET,343000,Diré-Daoua
Dīla,ET,158800,
Dessie,ET,270400,德西
Bishoftu,ET,207400,
Debre Tabor,ET,125300,德佈雷塔博爾|德卜勒塔博爾|德布雷塔博尔
Debre Mark’os,ET,140700,
Debre Birhan,ET,146900,德伯勒伯爾漢|德保贝尔韩
Bahir Dar,ET,350000,巴赫達爾
Awasa,ET,422200,
Āsela,ET,139500,
Arba Minch,ET,201000,
Ārabī,ET,148933,
Addis Ababa,ET,3860000,Adís Abeba|阿迪斯阿貝巴
Ādīgrat,ET,121800,
Sodo,ET,204100,
Burayu,ET,101400,
Turku,FI,206655,Túrcú|图尔库|圖爾庫
Tampere,FI,260646,坦佩雷
Oulu,FI,216066,奥卢|奧盧
Lahti,FI,121622,拉赫蒂
Kuopio,FI,125462,庫奧皮奧
Jyväskylä,FI,148744,Jüväskülä|于韦斯屈莱
Helsinki,FI,658864,Heilsincí|Helsínquia|Xélsinki|Ḥélsinki|赫尔辛基|赫爾辛基
Villeurbanne,FR,131445,维勒班|维嘞合朋纳
Toulouse,FR,511684,Tólóza|圖盧茲|圖魯茲
Strasbourg,FR,274845,斯特拉斯堡
Rouen,FR,116331,Ruán|Rúðuborg|盧昂|鲁昂
Rennes,FR,227830,Rénn Shehiri|雷恩
Paris,FR,2138551,París|Paríž|Páras|Párizs|巴黎
Orléans,FR,116344,Orleañs|奥尔良|奧爾良
Nantes,FR,325070,南特
Montreuil,FR,111240,
Marseille,FR,877215,马赛
Lyon,FR,520774,León do Roine|Lió|Lión|里昂
Lille,FR,238695,里尔|里爾
Dijon,FR,159941,第戎
Bordeaux,FR,265328,Bordéus|波尔多|波爾多
Saint-Quentin-en-Yvelines,FR,146598,
Marne La Vallée,FR,318325,
Port-Gentil,GA,164018,让蒂尔港
Libreville,GA,846090,利伯維爾|利伯维尔
Franceville,GA,132895,弗朗斯维尔
Woking,GB,103932,沃金
West Bromwich,GB,135618,西布朗|西布罗米奇|西布羅米奇
Watford,GB,125707,沃特福德
Tottenham,GB,130000,托特納姆
Sutton Coldfield,GB,107030,萨顿科尔德菲尔德
Saint Peters,GB,125370,
Poole,GB,150092,普爾
Newcastle under Lyme,GB,129441,
Mansfield,GB,171958,曼斯菲爾德
London,GB,8961989,Lundúnir|伦敦|倫敦
High Wycombe,GB,133204,海威科姆|海韋甘比
Hastings,GB,133422,海斯廷斯
Gillingham,GB,101187,
Edinburgh,GB,514990,Dún Éideann|Édimbourg|爱丁堡
Eastbourne,GB,118219,伊斯特本
Crawley,GB,180508,克劳利
Colchester,GB,121859,科尔切斯特|科赤斯特|高車士打
Chesterfield,GB,113057,車士打菲特
Cheltenham,GB,116447,切尔滕纳姆|切爾滕納姆|卓特咸|車頓咸
Cardiff,GB,372089,加的夫
Burton upon Trent,GB,122199,特倫河畔伯頓
Brighton,GB,277103,布赖顿|白禮頓
Birkenhead,GB,325264,
